Month-Year,Sales Revenue (₹),Service Fees (₹),Rent (₹),Utilities (₹),Salaries & Wages (₹),Raw Materials / Inventory (₹),Transportation / Logistics (₹),Loan Repayments & Interest (₹),Number of Orders,Customers,Average Order Value,Seasonality_Flag,Fuel Price Index,Total Income (₹),Total Expenses (₹),Net Cash Flow (₹)
2010-01,307621,48036,23650,10962,149549,165969,23878,37293,3928,963,-0.9,0,144.07,355657,411301,-55644
2010-02,398468,13159,21214,14273,153603,138625,15968,22483,2588,1230,202.5,0,85.53,411627,366166,45461
2010-03,405073,42745,37257,8132,177119,152835,18315,33314,4987,2339,155.34,1,101.82,447818,426972,20846
2010-04,246436,13913,24126,12684,119663,173221,9061,24696,1970,729,122.39,1,122.37,260349,363451,-103102
2010-05,286890,12864,21973,10094,177444,97558,6660,23925,3139,573,128.1,0,131.24,299754,337654,-37900
2010-06,357734,12095,49378,8460,172650,205871,6437,10384,4947,1704,116.25,0,81.67,369829,453180,-83351
2010-07,175879,44004,21540,8548,199655,246936,21402,17550,3780,2359,31.11,0,130.42,219883,515631,-295748
2010-08,117699,27829,23814,9046,188330,179729,5110,39968,4356,2544,-42.02,1,122.38,145528,445997,-300469
2010-09,186559,44999,35515,12692,178939,126905,9691,21497,2903,719,112.49,1,126.71,231558,385239,-153681
2010-10,218872,22615,49967,6059,95715,238809,28196,5317,1961,3254,150.96,1,146.11,241487,424063,-182576
2010-11,485621,16492,34510,6891,87688,199619,14444,28167,2608,1182,117.16,0,130.59,502113,371319,130794
2010-12,214164,18309,29722,13841,108035,226770,27257,30054,4329,2449,112.11,1,86.31,232473,435679,-203206
2011-01,228975,23894,43660,6582,95297,205229,11385,6066,657,1478,405.18,0,90.45,252869,368219,-115350
2011-02,101260,27164,35294,13779,176565,108803,21726,11872,2284,1901,82.31,0,139.56,128424,368039,-239615
2011-03,313073,17795,48206,11935,101689,215556,21231,33505,4757,1522,33.5,1,80.52,330868,432122,-101254
2011-04,261828,28822,37944,10311,82604,92760,17374,8176,3023,954,92.42,1,85.27,290650,249169,41481
2011-05,234972,16961,21601,11955,101524,158183,20193,30490,846,2105,245.22,0,133.27,251933,343946,-92013
2011-06,446165,14213,33361,6907,133960,232526,6976,18895,1544,2190,295.69,0,113.54,460378,432625,27753
2011-07,481451,25759,29029,13846,107306,67557,12388,10588,2972,543,175.87,0,126.3,507210,240714,266496
2011-08,417044,25614,49547,14884,128230,196320,10901,9636,3479,733,211.47,1,94.03,442658,409518,33140
2011-09,252830,47882,42811,14327,170852,247695,25721,9000,2609,2742,105.44,1,147.51,300712,510406,-209694
2011-10,359059,39314,42787,14078,191750,75464,15499,32056,845,880,329.18,1,99.06,398373,371634,26739
2011-11,497669,14695,30576,7348,135757,152614,9576,36057,3694,3196,210.99,0,113.37,512364,371928,140436
2011-12,427605,26242,37203,12099,156920,196700,5620,18126,4570,856,134.87,1,138.16,453847,426668,27179
2012-01,418644,15515,27930,7705,83808,170068,8988,17807,2772,2229,68.33,0,134.7,434159,316306,117853
2012-02,245606,39103,49274,14950,108263,82402,19463,34764,996,1683,336.66,0,136.21,284709,309116,-24407
2012-03,272669,46226,20491,11328,196169,85921,22719,17201,1933,2728,154.42,1,97.02,318895,353829,-34934
2012-04,153797,13349,38488,13132,164394,247692,8978,19537,2769,1524,85.8,1,114.85,167146,492221,-325075
2012-05,476766,49443,22658,10149,113429,75030,17407,14836,2843,2494,102.49,0,115.66,526209,253509,272700
2012-06,222577,29795,23560,9821,177253,183050,17921,9277,2467,3749,59.07,0,122.91,252372,420882,-168510
2012-07,460486,48626,46592,9109,96937,128733,26119,33720,4757,2507,192.87,0,89.5,509112,341210,167902
2012-08,232524,48411,37591,11073,142180,50089,23189,30035,688,433,338.73,1,131.46,280935,294157,-13222
2012-09,285460,29376,27235,9078,92942,66094,23408,37667,3398,785,103.63,1,136.47,314836,256424,58412
2012-10,358925,11676,21661,8880,133172,111986,5845,12412,2024,327,218.83,1,120.67,370601,293956,76645
2012-11,208058,29490,25003,11516,187549,136967,24529,26444,3815,2985,55.86,0,138.94,237548,412008,-174460
2012-12,352048,22813,25811,13306,177059,71219,22077,33575,3521,2325,131.9,1,131.71,374861,343047,31814
2013-01,299070,36681,29800,14503,196518,53832,9095,20498,4308,3010,136.95,0,134.18,335751,324246,11505
2013-02,317919,39888,32208,7544,115200,96267,21398,8916,805,566,337.93,0,141.76,357807,281533,76274
2013-03,360441,48329,21742,8169,87534,61237,16203,28719,4542,1603,75.16,1,82.09,408770,223604,185166
2013-04,214922,48997,46314,5387,96911,222324,8155,15697,4511,786,105.65,1,93.74,263919,394788,-130869
2013-05,429604,18738,49265,11568,103211,223080,11147,26331,4733,3898,170.58,0,87.22,448342,424602,23740
2013-06,257761,43599,31850,7374,138935,206768,19894,30956,3873,3493,85.27,0,96.53,301360,435777,-134417
2013-07,338363,38187,22774,13640,128242,190561,7419,9211,3319,1683,103.49,0,114.87,376550,371847,4703
2013-08,229728,39952,49678,5542,109641,157136,6296,38678,3134,2328,82.7,1,141.7,269680,366971,-97291
2013-09,210717,13363,22113,13962,127503,174770,16798,25335,2896,382,33.45,1,107.4,224080,380481,-156401
2013-10,111143,27803,42171,13695,82864,133245,24869,36174,587,1665,217.15,1,148.07,138946,333018,-194072
2013-11,248447,45675,25789,6819,94678,226515,6557,16625,1117,1789,269.28,0,95.22,294122,376983,-82861
2013-12,102421,34837,44917,13170,111886,107962,19254,29761,1302,2721,39.85,1,119.29,137258,326950,-189692
2014-01,425603,39661,22843,14853,107327,129846,6362,13691,2474,2769,154.78,0,95.65,465264,294922,170342
2014-02,455316,11590,49507,9372,93114,155648,14778,11983,3077,1628,124.6,0,93.45,466906,334402,132504
2014-03,427784,35219,21220,11700,82034,171533,9861,23067,1662,3833,278.56,1,129.19,463003,319415,143588
2014-04,395220,45788,27525,5442,167266,140945,20724,27886,3109,3895,124.62,1,141.89,441008,389788,51220
2014-05,262998,39822,39178,11590,186404,136611,11130,38302,4841,1432,122.95,0,113.07,302820,423215,-120395
2014-06,324576,24633,39635,11167,104644,81341,15994,37203,1629,902,221.78,0,132.55,349209,289984,59225
2014-07,321878,26888,32456,5823,159031,148166,26552,38729,2402,1330,54.62,0,85.28,348766,410757,-61991
2014-08,370374,49506,35699,10539,149786,91362,8760,22462,3319,945,77.47,1,91.79,419880,318608,101272
2014-09,409194,32562,35972,6958,133341,92286,14956,32084,3110,389,128.33,1,103.46,441756,315597,126159
2014-10,287448,47591,35103,9814,121699,240544,17431,22082,2471,3164,144.28,1,87.35,335039,446673,-111634
2014-11,108683,49084,30329,7145,188900,168070,6291,21874,4818,1274,15.61,0,127.09,157767,422609,-264842
2014-12,143236,22677,24139,9884,194101,189085,29570,39500,907,3531,84.33,1,133.89,165913,486279,-320366
2015-01,484823,22005,42774,9859,177514,109567,24359,32023,1914,3920,303.62,0,122.8,506828,396096,110732
2015-02,115801,13791,21892,6178,97120,237768,7926,26612,4798,2862,64.09,0,149.48,129592,397496,-267904
2015-03,280047,13022,38389,9020,157465,62070,12686,37907,2034,1499,107.34,1,103.84,293069,317537,-24468
2015-04,195942,49908,36918,12906,128093,187229,29907,32103,2661,1655,142.51,1,120.76,245850,427156,-181306
2015-05,405497,26309,39847,10746,94137,105000,26814,29648,2023,2562,238.3,0,114.28,431806,306192,125614
2015-06,148881,46212,31643,12818,171022,230614,21355,23070,4842,1955,-12.3,0,112.7,195093,490522,-295429
2015-07,180638,35636,43020,5773,116309,169535,12381,27973,3071,1677,132.19,0,92.25,216274,374991,-158717
2015-08,270437,23623,29265,13875,189971,99004,7522,29685,4124,1072,152.16,1,131.28,294060,369322,-75262
2015-09,426596,42577,43635,5790,137636,108601,23741,23568,1010,3614,381.43,1,148.6,469173,342971,126202
2015-10,454284,23959,27330,8034,135548,98505,5616,38612,891,308,510.14,1,116.95,478243,313645,164598
2015-11,405634,21231,32037,9178,119768,146174,21318,22354,2651,783,193.26,0,149.29,426865,350829,76036
2015-12,298745,36777,23194,5766,104952,121896,23686,36574,3215,320,107.81,1,125.51,335522,316068,19454
2016-01,229953,21938,46433,7880,114870,229621,5012,15366,4447,1578,28.04,0,94.2,251891,419182,-167291
2016-02,476889,40943,34669,8859,190493,70950,24259,5706,3961,1064,103.67,0,132.35,517832,334936,182896
2016-03,101493,47111,21519,6567,120894,78259,5953,18895,1176,2150,182.86,1,126.95,148604,252087,-103483
2016-04,246025,12174,49219,10676,193950,115547,9093,10146,572,2545,440.13,1,85.03,258199,388631,-130432
2016-05,128866,37549,35602,6116,124765,247975,25957,5072,2776,3289,50.14,0,138.8,166415,445487,-279072
2016-06,404099,28173,46774,6795,118594,160583,18185,9301,2644,835,150.34,0,115.22,432272,360232,72040
2016-07,127678,11295,41003,5505,104066,203953,16062,33983,1995,3135,32.3,0,100.23,138973,404572,-265599
2016-08,130945,36073,31284,6094,89415,214807,9057,13730,4467,2157,6.18,1,141.01,167018,364387,-197369
2016-09,113783,31198,42801,12714,147600,182684,18851,22093,3677,3266,96.77,1,147.3,144981,426743,-281762
2016-10,155413,46195,47722,11961,137386,186076,16458,18649,3669,1283,34.66,1,85.59,201608,418252,-216644
2016-11,202992,22405,40035,7621,122472,131528,9677,8594,4975,1957,-33.77,0,117.0,225397,319927,-94530
2016-12,486246,14714,28035,10907,136470,224672,25728,32440,2084,363,169.51,1,124.7,500960,458252,42708
2017-01,388496,42570,33607,8876,100992,141012,21750,18135,3421,3362,155.73,0,110.95,431066,324372,106694
2017-02,282623,31462,49429,5328,113218,223167,26401,11385,2317,1156,140.08,0,135.51,314085,428928,-114843
2017-03,346186,32599,27934,7300,101552,195055,11128,38331,2835,2495,82.98,1,129.52,378785,381300,-2515
2017-04,412823,40661,23158,6875,185033,227029,25893,7998,3067,366,127.43,1,85.69,453484,475986,-22502
2017-05,385330,11117,26959,9315,154556,163176,6357,20355,2531,3706,167.27,0,93.54,396447,380718,15729
2017-06,110487,27707,34520,9724,148349,183752,17994,38998,3448,1995,33.3,0,94.3,138194,433337,-295143
2017-07,136045,14232,24726,10781,186845,65531,8972,10387,1733,546,63.16,0,147.64,150277,307242,-156965
2017-08,386759,38306,40332,14970,176950,148637,8408,10261,2595,3260,131.18,1,135.23,425065,399558,25507
2017-09,195273,45697,29343,9777,95102,82782,21525,23219,703,3456,274.65,1,95.88,240970,261748,-20778
2017-10,207056,13600,22296,8473,124682,195413,10516,19624,3593,1310,75.8,1,110.57,220656,381004,-160348
2017-11,203484,24092,28777,6524,128490,187236,16955,33606,2733,1340,40.34,0,117.92,227576,401588,-174012
2017-12,432788,43376,42978,14401,187469,188880,27646,19903,3791,750,158.64,1,87.71,476164,481277,-5113
2018-01,195127,44566,29158,13140,177978,200386,11687,14414,1888,3977,55.81,0,127.64,239693,446763,-207070
2018-02,448558,43624,48077,7515,191659,246429,26396,5293,817,788,663.39,0,130.38,492182,525369,-33187
2018-03,375187,27451,46320,10132,145619,231791,29123,18375,3502,481,3.53,1,80.88,402638,481360,-78722
2018-04,319008,42686,47722,6020,88164,70156,15471,25128,575,3398,537.93,1,136.99,361694,252661,109033
2018-05,356905,34552,40192,7977,120383,88433,7583,15455,2193,3492,177.77,0,121.64,391457,280023,111434
2018-06,359799,47938,21701,13440,176043,247453,18049,24634,3729,2279,88.52,0,110.64,407737,501320,-93583
2018-07,166919,26174,25503,9008,116090,240976,6380,21162,2332,1463,142.07,0,135.84,193093,419119,-226026
2018-08,456007,33859,32756,14706,157856,161676,12040,7001,2375,942,246.11,1,95.83,489866,386035,103831
2018-09,373292,25701,42245,7223,95140,60815,6766,29817,3574,2327,-7.55,1,90.47,398993,242006,156987
2018-10,282004,29343,34162,9104,198474,107461,23290,15593,2865,791,43.01,1,99.89,311347,388084,-76737
2018-11,212453,15793,47502,7343,167431,135801,22003,32975,4113,2854,45.03,0,123.41,228246,413055,-184809
2018-12,101572,29583,20153,9393,150976,115447,22282,18141,3670,1549,94.65,1,100.31,131155,336392,-205237
2019-01,197753,35400,46365,14657,120534,230911,19601,13554,3476,489,137.8,0,149.49,233153,445622,-212469
2019-02,228571,17336,41798,12814,120613,205776,18636,21449,504,3520,438.67,0,81.01,245907,421086,-175179
2019-03,250320,47555,37406,10651,88019,139472,5662,12721,2857,1081,112.01,1,139.12,297875,293931,3944
2019-04,132948,38845,27135,11150,90803,81527,9819,15042,2860,2458,80.2,1,149.94,171793,235476,-63683
2019-05,171118,29520,32480,14676,195974,51348,24870,31631,4848,2967,50.06,0,101.15,200638,350979,-150341
2019-06,448008,29240,31486,5286,116907,103287,18021,20227,2052,2259,253.14,0,132.72,477248,295214,182034
2019-07,358533,17890,28430,5744,99724,182853,27923,7577,3526,1200,92.05,0,146.62,376423,352251,24172
2019-08,181686,42344,22161,14759,191658,88746,20643,6150,3724,319,74.8,1,81.65,224030,344117,-120087
2019-09,372088,10973,44527,5121,157001,96440,29100,36176,4389,3756,32.78,1,112.71,383061,368365,14696
2019-10,496177,46644,33711,13487,170635,105780,8973,26515,4014,3173,122.08,1,128.78,542821,359101,183720
2019-11,265604,46712,29797,9174,86425,110336,11547,26282,3103,1240,102.82,0,114.6,312316,273561,38755
2019-12,209874,46696,31039,14017,122749,240126,19961,7405,2412,2977,83.55,1,101.23,256570,435297,-178727
2020-01,117946,22684,30664,13377,152249,192000,13352,38291,2279,2839,-8.78,0,98.7,140630,439933,-299303
2020-02,111508,37386,46490,11825,198389,67334,8130,22281,3628,881,-1.47,0,104.98,148894,354449,-205555
2020-03,101988,47502,30438,10406,165360,120144,17377,9127,2582,2895,20.33,1,135.72,149490,352852,-203362
2020-04,171196,25431,45122,9412,195341,243474,5098,23689,1899,1501,81.1,1,130.13,196627,522136,-325509
2020-05,438367,18161,31470,5407,117722,135869,27064,32974,4046,390,90.07,0,99.81,456528,350506,106022
2020-06,401080,19872,31065,10378,87641,51446,27614,13795,617,2798,592.92,0,131.72,420952,221939,199013
2020-07,426556,24639,39022,5059,175956,139915,26306,29936,4278,1960,13.8,0,98.04,451195,416194,35001
2020-08,481458,17572,47589,9955,177338,226383,22203,37346,3586,2185,218.18,1,116.42,499030,520814,-21784
